make,model
mitsubishi,MU2B
piper,PA 15
beech,24
air tractor,AT402
cub crafters,CCX-2000-0086
bellanca,1730A
great lakes,2T 1A
aerospatiale,SA342J
coyote,S-6ES
evektor aerotechnik,SPORTSTAR
air tractor,AT 602
mbb,BK117
boeing,B75
de havilland,DHC-2
cessna,188
golden circle air,T-Bird
piper,PA22
costruzioni aeronautiche tecna,P2004 Bravo
mcdonnell douglas,600
stearman,N2S 3
maule,MXT7
american eurocopter,AS350
greg miller,GOT ROCKS
sportine aviacija,LAK17
schweizer,SGS233
evektor aerotechnik,L13
socata,TB200
piper,PA 14
stearman,A75N1(PT17)
maule,MX7
navion,NAVION
champion,8KCAB
pik,PIK-20D
cessna,170B
eipper,QUICKSILVER
great lakes,2T1A
mooney,M20F
evolution,Revolt
bellanca,1730
piper,PA-28-180
cessna,310
piper,PA32
aerospatiale,AS355
piper,PA12
globe,GC1A
navion,Navion A
beech,65-80-8800
cessna,177RG
randy wayne maloney,M1
cessna,170
six chuter,Skye Ryder
airbus,321
cessna,182E
pipistrel,Apis-Bee
zenith,601
cessna,182A
mcdonnell douglas,MD80
schleicher,K7
fairchild,227
cessna,C172
aerostar international,S53A
